"bacteria","antibiotic","mu","Bmax","kmax","EC50","pow"
"327","ery",2.04052325048393,2324080099.91217,2.23680811113801,3.41093192622373,0.66685098265582
"327","tet",1.97948560677469,1100002240.8949,10.2813769572436,65.1480559808554,0.303660396432987
"201kt7","ery",2.07443217751918,1100000007.05757,8.1082536797765,9.08258304049658,0.219499361613526
"201kt7","tet",2.16157690337305,1099999997.16162,3.59092292680401,7.2748726339908,2.40583369510655
