"Concentration","time","se","cfu","source","bac","abx"
0.5,6,NA,658721822.865606,"model","drp","ery"
1,0,NA,131666.666666667,"model","drp","ery"
1,1,NA,557360.588351909,"model","drp","ery"
1,2,NA,2355091.62246445,"model","drp","ery"
1,3,NA,9875614.4702317,"model","drp","ery"
1,4,NA,40134687.3488572,"model","drp","ery"
1,6,NA,379403006.723295,"model","drp","ery"
2,0,NA,126666.666666667,"model","drp","ery"
2,1,NA,413483.231310298,"model","drp","ery"
2,2,NA,1348339.32359817,"model","drp","ery"
2,3,NA,4381911.29371265,"model","drp","ery"
2,4,NA,14085416.9204454,"model","drp","ery"
2,6,NA,123214909.188855,"model","drp","ery"
4,0,NA,141666.666666667,"model","drp","ery"
4,1,NA,352326.797531794,"model","drp","ery"
4,2,NA,875667.434386059,"model","drp","ery"
4,3,NA,2172832.65599199,"model","drp","ery"
4,4,NA,5369932.21468988,"model","drp","ery"
4,6,NA,31412520.8176856,"model","drp","ery"
8,0,NA,153333.333333333,"model","drp","ery"
8,1,NA,298260.16377815,"model","drp","ery"
8,2,NA,579940.405425883,"model","drp","ery"
8,3,NA,1126784.43075742,"model","drp","ery"
8,4,NA,2186030.76668417,"model","drp","ery"
8,6,NA,8136246.76356851,"model","drp","ery"
16,0,NA,133333.333333333,"model","drp","ery"
16,1,NA,213572.687594465,"model","drp","ery"
16,2,NA,342032.89851452,"model","drp","ery"
16,3,NA,547588.325921226,"model","drp","ery"
16,4,NA,876241.495292134,"model","drp","ery"
16,6,NA,2237249.84338327,"model","drp","ery"
32,0,NA,86666.6666666667,"model","drp","ery"
32,1,NA,120935.31866649,"model","drp","ery"
32,2,NA,168740.895437901,"model","drp","ery"
32,3,NA,235418.516620137,"model","drp","ery"
32,4,NA,328394.177917532,"model","drp","ery"
32,6,NA,638550.986281946,"model","drp","ery"
0,0,55075.705472861,163333.333333333,"Data","drp","tet"
0,1,1434398.82877811,1850000,"Data","drp","tet"
0,2,5107184.48201485,10333333.3333333,"Data","drp","tet"
0,3,50579969.6849784,96666666.6666667,"Data","drp","tet"
0,4,3.5e+08,5.5e+08,"Data","drp","tet"
0,6,346410161.513775,1.3e+09,"Data","drp","tet"
0.25,0,99624.2942258564,185000,"Data","drp","tet"
0.25,1,1693369.42218761,2050000,"Data","drp","tet"
0.25,2,3175426.48054294,10833333.3333333,"Data","drp","tet"
0.25,3,37527767.4973257,51666666.6666667,"Data","drp","tet"
0.25,4,144337567.297406,433333333.333333,"Data","drp","tet"
0.25,6,482182538.049648,1.05e+09,"Data","drp","tet"
0.5,0,42524.5027405769,146666.666666667,"Data","drp","tet"
0.5,1,596517.672272443,1266666.66666667,"Data","drp","tet"
0.5,2,2886751.34594813,9166666.66666667,"Data","drp","tet"
0.5,3,22546248.7641145,76666666.6666667,"Data","drp","tet"
0.5,4,352325606.979302,443333333.333333,"Data","drp","tet"
0.5,6,3e+08,9.5e+08,"Data","drp","tet"
1,0,196871.362400257,223333.333333333,"Data","drp","tet"
1,1,354729.944229879,966666.666666667,"Data","drp","tet"
1,2,6027713.77334171,9166666.66666667,"Data","drp","tet"
1,3,28431203.5153866,56666666.6666667,"Data","drp","tet"
1,4,236290781.31263,383333333.333333,"Data","drp","tet"
1,6,553022000.767902,1316666666.66667,"Data","drp","tet"
2,0,60621.7782649107,145000,"Data","drp","tet"
2,1,416333.199893227,583333.333333333,"Data","drp","tet"
2,2,2753785.27364305,4833333.33333333,"Data","drp","tet"
2,3,33955853.6926993,3.1e+07,"Data","drp","tet"
2,4,222654440.782123,2.55e+08,"Data","drp","tet"
2,6,425245027.405769,733333333.333333,"Data","drp","tet"
4,0,165755.844542508,215000,"Data","drp","tet"
4,1,69282.0323027551,260000,"Data","drp","tet"
4,2,453688.586293873,583333.333333333,"Data","drp","tet"
4,3,2065389.39024421,2116666.66666667,"Data","drp","tet"
4,4,18346207.6008458,16833333.3333333,"Data","drp","tet"
4,6,375277674.973257,366666666.666667,"Data","drp","tet"
8,0,11547.0053837925,143333.333333333,"Data","drp","tet"
8,1,117508.864913815,231666.666666667,"Data","drp","tet"
8,2,40414.5188432738,68333.3333333333,"Data","drp","tet"
8,3,22787.0577302117,31500,"Data","drp","tet"
8,4,53928.9656245448,63333.3333333333,"Data","drp","tet"
8,6,1450183.89638464,1196666.66666667,"Data","drp","tet"
16,0,115325.625946708,190000,"Data","drp","tet"
16,1,132570.735835629,205000,"Data","drp","tet"
16,2,24834.4518763753,21500,"Data","drp","tet"
16,3,33054.2483401655,21833.3333333333,"Data","drp","tet"
16,4,3669.24152016917,4066.66666666667,"Data","drp","tet"
16,6,11838.3205453026,12083.3333333333,"Data","drp","tet"
32,0,141096.893421979,188333.333333333,"Data","drp","tet"
32,1,39051.2483795333,130000,"Data","drp","tet"
32,2,2565.80071972344,12833.3333333333,"Data","drp","tet"
32,3,27569.6088716059,18166.6666666667,"Data","drp","tet"
32,4,2208.50628253578,1450,"Data","drp","tet"
32,6,3312.97952503986,2183.33333333333,"Data","drp","tet"
0,0,NA,163333.333333333,"model","drp","tet"
0,1,NA,1491319.94959483,"model","drp","tet"
0,2,NA,13484149.573572,"model","drp","tet"
0,3,NA,112079720.354424,"model","drp","tet"
0,4,NA,560021063.650071,"model","drp","tet"
0,6,NA,1087453096.37344,"model","drp","tet"
0.25,0,NA,185000,"model","drp","tet"
0.25,1,NA,1645617.65664332,"model","drp","tet"
0.25,2,NA,14484450.9745869,"model","drp","tet"
0.25,3,NA,116718104.852181,"model","drp","tet"
0.25,4,NA,562273973.29743,"model","drp","tet"
0.25,6,NA,1074448761.91067,"model","drp","tet"
0.5,0,NA,146666.666666667,"model","drp","tet"
0.5,1,NA,1232391.22917245,"model","drp","tet"
0.5,2,NA,10277322.5691261,"model","drp","tet"
0.5,3,NA,80642788.9957827,"model","drp","tet"
0.5,4,NA,433542381.34055,"model","drp","tet"
0.5,6,NA,1037470836.23937,"model","drp","tet"
1,0,NA,223333.333333333,"model","drp","tet"
1,1,NA,1575879.85714587,"model","drp","tet"
1,2,NA,11026721.1823891,"model","drp","tet"
1,3,NA,72897932.0086309,"model","drp","tet"
1,4,NA,354031420.072902,"model","drp","tet"
1,6,NA,939147044.059614,"model","drp","tet"
2,0,NA,145000,"model","drp","tet"
2,1,NA,644848.812082765,"model","drp","tet"
2,2,NA,2861147.27777242,"model","drp","tet"
2,3,NA,12565609.1033288,"model","drp","tet"
2,4,NA,52833242.2768639,"model","drp","tet"
2,6,NA,447403832.29768,"model","drp","tet"
4,0,NA,215000,"model","drp","tet"
4,1,NA,395548.891375106,"model","drp","tet"
4,2,NA,727351.925892832,"model","drp","tet"
4,3,NA,1336259.22097358,"model","drp","tet"
4,4,NA,2450783.67999033,"model","drp","tet"
4,6,NA,8147857.01296077,"model","drp","tet"
8,0,NA,143333.333333333,"model","drp","tet"
8,1,NA,100342.019383595,"model","drp","tet"
8,2,NA,70250.4534118348,"model","drp","tet"
8,3,NA,49185.7150091387,"model","drp","tet"
8,4,NA,34438.4247755349,"model","drp","tet"
8,6,NA,16884.2194523773,"model","drp","tet"
16,0,NA,190000,"model","drp","tet"
16,1,NA,74221.2419836203,"model","drp","tet"
16,2,NA,28998.0514070559,"model","drp","tet"
16,3,NA,11330.1043496535,"model","drp","tet"
16,4,NA,4426.99364995203,"model","drp","tet"
16,6,NA,675.877998757116,"model","drp","tet"
32,0,NA,188333.333333333,"model","drp","tet"
32,1,NA,58101.2585198655,"model","drp","tet"
32,2,NA,17927.0652673895,"model","drp","tet"
32,3,NA,5531.63186661083,"model","drp","tet"
32,4,NA,1706.88290711312,"model","drp","tet"
32,6,NA,162.520880413168,"model","drp","tet"
