"mu_e","mu_t","mu_et","Nmax","log.density"
1.58703117996847,1.49079113203934,1.42280734507191,2612142884.00568,-355.554702526336
1.60941229701333,1.51290337711702,1.44493251372651,2762956740.79178,-351.027371086106
1.63001321823176,1.53308456723096,1.46593122110622,2982900580.02312,-349.106796854952
