"bacteria","antibiotic","mu","Bmax","kmax","EC50","pow"
"327","ery",2.04052325048393,2324080099.91217,1.09692776114084,3.41911843839871,0.666295320438714
"327","tet",1.97948560677469,1100002240.8949,5.40081762007904,81.4288280310108,0.299873490277015
"201kt7","ery",2.07443217751918,1100000007.05757,3.91208742595113,9.26025614494022,0.217154140800698
"201kt7","tet",2.16157690337305,1099999997.16162,1.66127843539021,7.27384068032388,2.4064725255063
"drp","ery",2.09662852436304,1100000071.22726,0.951012035074558,2.47291155492835,0.794392053527223
"drp","tet",2.21282937006974,1100000001.62125,1.58385633932984,4.42310166894101,1.70456080440278
